Labor SKU,Labor Description,Fence Category Standard,ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB,Unit Type,Service Availability,Rate Classification,BU Labor Summary,Last Modified,Modified By
IR01,Iron Set Post 8' O.C.,Iron,$1.75,$1.75,$1.50,$1.50,$1.50,$1.50,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
IR02,Iron Weld Standard Fence,Iron,$2.50,$2.50,$1.25,$1.25,$1.25,$1.25,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
IR04,Set and Weld Railing - 8' or 10' OC,Iron,$4.75,$4.75,,,,,Per LF,"ATX-RES,ATX-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
IR05,Set Post 8' O.C. Ameristar/3 rail brackets,Iron,$2.25,$2.25,,,,,Per LF,"ATX-RES,ATX-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
IR06,"Weld/Bracket  Fence - Ameristar/3
  rail - up to 6 FT",Iron,$2.75,$2.75,,,,,Per LF,"ATX-RES,ATX-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
IR07,Iron Gate - Single,Iron,$30.00,$30.00,$15.00,$15.00,$15.00,$15.00,Per Gate,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
LB04,Rock Fee,Service,$0.50,$0.50,$0.40,$0.40,$0.40,$0.40,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
M03,Steel Post - Nail Up - Vertical ip to 6' High,Vertical W,$2.25,$2.00,$2.00,$1.50,$2.00,$1.50,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
M04,Steel Post - Nail Up - Vertical 7' or 8' High,Vertical W,$2.50,$2.15,$2.20,$1.70,$2.20,$1.70,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
M06,Steel Post - Goodneighbor Style,"Vertical W,Horizontal W",$0.40,$0.40,$0.00,$0.00,$0.00,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
M07,Steel Post - Cap and Trim,Vertical W,$0.50,$0.50,$0.50,$0.00,$0.50,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W01,Tear Out and Haul Off,Service,$2.00,$2.00,$1.25,$1.25,$1.25,$1.25,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W02,Set Post 8' OC,"Vertical W,Horizontal W,Iron",$2.00,$1.75,$2.00,$1.50,$2.00,$1.50,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W03,Nail Up - Vertical ip to 6' High,Vertical W,$2.00,$1.65,$1.50,$1.25,$1.50,$1.25,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W04,Nail Up - Vertical 7' or 8' High,Vertical W,$2.25,$1.90,$1.70,$1.50,$1.70,$1.50,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W05,Additional Rail,Vertical W,$0.20,$0.15,$0.00,$0.00,$0.00,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W06,Goodneighbor Style,Vertical W,$0.20,$0.10,$0.00,$0.00,$0.00,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W07,Cap and Trim,Vertical W,$0.50,$0.50,$0.50,$0.00,$0.50,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W08,Just Trim/Addittional Trim,Vertical W,$0.25,$0.20,$0.15,$0.00,$0.15,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
W09,Just CAP,"Vertical W,Horizontal W",$0.25,$0.20,$0.25,$0.00,$0.25,$0.00,Per LF,"ATX-RES,ATX-HB,SA-RES,SA-HB,HOU-RES,HOU-HB",,,8/12/2025 7:08pm,Giacomo Iacoangeli
